,date,predicted_ar,Pred_attained,required,attained_cii
0,2024-01-02,0.7593598961830139,7.927717316150665,10.44,5.86
1,2024-01-03,0.5146785378456116,5.373243935108184,10.44,7.48
2,2024-01-05,0.8529852032661438,8.90516552209854,10.44,8.78
3,2024-01-06,0.6159777045249939,6.430807235240936,10.44,7.04
4,2024-01-08,0.8845177292823792,9.234365093708037,10.44,24.56
5,2024-01-10,0.7881115674972534,8.227884764671325,10.44,39.79
6,2024-01-11,0.5236785411834717,5.467203969955444,10.44,17.67
7,2024-01-12,0.8618033528327942,8.997227003574372,10.44,9.02
8,2024-01-13,0.8227179646492004,8.589175550937652,10.44,11.63
9,2024-01-14,0.9940844774246216,10.378241944313048,10.44,10.77
10,2024-01-15,0.7930933833122253,8.279894921779633,10.44,8.21
11,2024-01-16,1.0228341817855835,10.678388857841492,10.44,14.52
12,2024-01-17,0.593332827091217,6.194394714832305,10.44,10.49
13,2024-01-18,0.7511069774627686,7.841556844711303,10.44,10.0
14,2024-01-19,0.8456025719642639,8.828090851306914,10.44,12.06
15,2024-01-20,0.6659059524536133,6.952058143615722,10.44,9.56
16,2024-01-21,0.909980297088623,9.500194301605225,10.44,24.95
17,2024-01-22,0.8027161359786987,8.380356459617614,10.44,5.79
18,2024-01-24,0.785502016544342,8.200641052722931,10.44,7.81
19,2024-01-25,0.7872356176376343,8.218739848136902,10.44,14.12
20,2024-01-26,0.7969176769256592,8.319820547103882,10.44,9.78
21,2024-01-27,0.7950705885887146,8.30053694486618,10.44,6.2
22,2024-01-28,0.8222773671150208,8.584575712680817,10.44,6.82
23,2024-01-29,1.0227514505386353,10.67752514362335,10.44,18.53
24,2024-01-30,1.0654860734939575,11.123674607276916,10.44,8.26
25,2024-01-31,0.9540128111839294,9.959893748760223,10.44,6.67
26,2024-02-01,0.765042245388031,7.987041041851043,10.44,7.2
27,2024-02-02,0.9028752446174622,9.426017553806304,10.44,7.38
28,2024-02-08,0.7834171056747437,8.178874583244323,10.44,7.5
29,2024-02-09,0.69300377368927,7.234959397315978,10.44,30.84
30,2024-02-10,0.5273841023445129,5.505890028476715,10.44,6.08
31,2024-02-11,0.7128264904022217,7.441908559799194,10.44,8.66
32,2024-02-15,0.804580569267273,8.39982114315033,10.44,14.12
33,2024-02-23,0.614341139793396,6.413721499443054,10.44,9.27
34,2024-02-24,0.6666640639305115,6.959972827434539,10.44,5.81
35,2024-02-25,0.654388427734375,6.8318151855468745,10.44,6.8
36,2024-02-26,0.6666640639305115,6.959972827434539,10.44,7.75
37,2024-02-27,0.7479369640350342,7.808461904525757,10.44,6.44
38,2024-02-29,0.6804115176200867,7.103496243953704,10.44,6.59
39,2024-03-01,0.7695388197898865,8.033985278606414,10.44,5.57
40,2024-03-02,0.6727632284164429,7.0236481046676635,10.44,5.29
41,2024-03-03,0.8257855176925659,8.621200804710387,10.44,5.75
42,2024-03-04,0.7437137365341187,7.764371409416198,10.44,7.07
43,2024-03-08,0.5235129594802856,5.465475296974182,10.44,5.77
44,2024-03-09,0.6931439638137817,7.236422982215881,10.44,62.36
45,2024-03-12,0.5194850564002991,5.423423988819122,10.44,6.09
46,2024-03-14,0.6037999987602234,6.303671987056732,10.44,19.2
47,2024-03-19,1.0837292671203613,11.31413354873657,10.44,33.19
48,2024-03-20,0.8677151203155518,9.05894585609436,10.44,8.23
49,2024-03-21,0.7539918422698975,7.871674833297729,10.44,8.44
50,2024-03-22,0.7792543172836304,8.1354150724411,10.44,8.33
51,2024-03-23,0.7414431571960449,7.740666561126709,10.44,7.45
52,2024-03-24,0.5670211911201477,5.919701235294342,10.44,5.8
53,2024-03-26,0.7477397918701172,7.806403427124023,10.44,13.42
54,2024-03-27,0.6186299324035645,6.458496494293213,10.44,6.26
55,2024-03-28,0.5898831486701965,6.158380072116851,10.44,6.8
56,2024-03-29,0.652647852897644,6.813643584251404,10.44,10.58
57,2024-03-31,0.7264092564582825,7.583712637424469,10.44,9.05
58,2024-04-01,0.7937030792236328,8.286260147094726,10.44,9.21
59,2024-04-02,0.8898832201957703,9.290380818843841,10.44,17.84
60,2024-04-03,0.633931577205658,6.618245666027069,10.44,10.27
61,2024-04-04,0.7159269452095032,7.4742773079872125,10.44,9.61
62,2024-04-05,0.8385975956916809,8.754958899021148,10.44,8.21
63,2024-04-07,0.8339930772781372,8.706887726783751,10.44,9.59
64,2024-04-08,0.6784086227416992,7.08258602142334,10.44,9.35
65,2024-04-09,0.5528054237365723,5.771288623809814,10.44,8.11
66,2024-04-10,0.663594126701355,6.927922682762146,10.44,6.75
67,2024-04-14,0.7077500224113464,7.388910233974457,10.44,5.92
68,2024-04-16,0.7476245760917664,7.80520057439804,10.44,11.03
69,2024-04-17,0.6380842328071594,6.661599390506744,10.44,6.99
70,2024-04-18,0.633061945438385,6.609166710376739,10.44,14.78
71,2024-04-24,0.7413562536239624,7.7397592878341674,10.44,30.83
72,2024-04-25,0.8525298833847046,8.900411982536315,10.44,8.49
73,2024-04-26,0.8944033980369568,9.337571475505829,10.44,8.93
74,2024-04-27,0.8067176342010498,8.42213210105896,10.44,7.64
75,2024-04-28,0.6654962301254272,6.94778064250946,10.44,6.4
76,2024-04-30,0.976642370223999,10.19614634513855,10.44,8.81
77,2024-05-01,0.6368675827980042,6.648897564411163,10.44,9.89
78,2024-05-02,1.1359885931015015,11.859720911979675,10.44,8.05
79,2024-05-03,0.7302892208099365,7.624219465255737,10.44,10.18
80,2024-05-05,0.7017332911491394,7.326095559597015,10.44,8.11
