,imo,created_at,updated_at,created_by_id,updated_by_id,adjusted_date,speed,mean_draft,sea_state,me_actual_steaming_time,ae_t_steaming,aux_running,blr_running,distance,actual_total_fo,total_co_2,activity_time,status,derived_rpm,slip
43,9235581,,,,,2017-08-06,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.5,8.02,24.0,PORT,0.0,0.0
44,9235581,,,,,2017-08-07,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.9,9.3,24.0,PORT,0.0,0.0
45,9235581,,,,,2017-08-08,0.0,5.4,0.0,0.0,24.0,1,0,0.0,3.2,10.26,24.0,PORT,0.0,0.0
46,9235581,,,,,2017-08-09,0.0,5.4,0.0,0.0,28.0,3,0,0.0,3.2,10.26,24.0,PORT,0.0,0.0
47,9235581,,,,,2017-08-10,0.0,5.4,0.0,0.0,24.0,1,0,0.0,4.1,13.14,24.0,PORT,0.0,0.0
48,9235581,,,,,2017-08-11,0.0,5.4,0.0,0.0,24.0,1,0,0.0,3.0,9.62,24.0,PORT,0.0,0.0
49,9235581,,,,,2017-08-12,0.0,5.4,0.0,0.0,30.0,2,0,0.0,7.0,22.44,24.0,PORT,0.0,0.0
50,9235581,,,,,2017-08-13,4.0,5.35,0.0,8.5,15.0,3,0,34.0,9.4,29.27,8.5,SAIL,16.7360235677913,0.0
51,9235581,,,,,2017-08-13,10.0,5.35,0.0,0.3,0.6,2,0,3.0,0.7,2.18,0.3,SAIL,41.8400589194782,0.0
52,9235581,,,,,2017-08-13,9.72,5.35,3.0,3.6,7.2,2,0,35.0,7.4,23.22,3.6,SAIL,40.6778350606038,0.0
53,9235581,,,,,2017-08-13,14.74,5.35,2.0,1.9,1.9,1,0,28.0,4.8,14.95,1.9,SAIL,61.6590341971258,1.28
54,9235581,,,,,2017-08-13,6.99,5.35,0.83,14.3,36.9,2,0,100.0,25.0,78.27,24.0,SAIL,29.2587824611736,1.28
55,9235581,,,,,2017-08-13,0.0,5.35,0.0,0.0,7.9,2,0,0.0,1.7,5.45,5.4,PORT,0.0,0.0
56,9235581,,,,,2017-08-13,0.0,5.35,0.0,0.0,4.3,1,0,0.0,1.0,3.21,4.3,PORT,0.0,0.0
57,9235581,,,,,2017-08-14,8.12,7.05,0.0,1.6,4.8,3,0,13.0,1.9,5.92,1.6,SAIL,33.9950478720761,0.0
58,9235581,,,,,2017-08-14,10.0,7.05,3.0,1.7,3.4,2,0,17.0,4.6,14.32,1.7,SAIL,41.8400589194782,0.0
59,9235581,,,,,2017-08-14,19.88,7.05,3.0,8.3,8.3,1,0,165.0,25.9,80.65,8.3,SAIL,83.176020743541,-3.89
60,9235581,,,,,2017-08-14,16.81,7.05,1.2,11.6,29.6,2,0,195.0,35.7,111.47,18.0,SAIL,70.3345818042953,-3.89
61,9235581,,,,,2017-08-14,0.0,7.05,0.0,0.0,12.0,3,0,0.0,3.0,9.62,5.3,PORT,0.0,0.0
62,9235581,,,,,2017-08-14,0.0,7.05,0.0,0.0,1.1,1,0,0.0,0.3,0.96,1.1,PORT,0.0,0.0
63,9235581,,,,,2017-08-15,6.0,7.55,3.0,1.0,3.0,3,0,6.0,1.0,3.11,1.0,SAIL,25.1040353516869,0.0
64,9235581,,,,,2017-08-15,19.0,7.55,3.0,2.0,2.0,1,0,38.0,6.8,21.18,2.0,SAIL,79.4961119470086,3.05
65,9235581,,,,,2017-08-15,14.67,7.55,2.0,3.0,26.0,2,0,44.0,13.6,42.35,24.0,SAIL,61.3654197485681,3.05
66,9235581,,,,,2017-08-15,0.0,7.55,0.0,0.0,21.0,1,0,0.0,5.8,18.06,21.0,PORT,0.0,0.0
67,9235581,,,,,2017-08-16,6.94,7.55,0.0,3.6,10.8,3,0,25.0,4.7,14.64,3.6,SAIL,29.0555964718599,0.0
68,9235581,,,,,2017-08-16,18.48,7.55,3.0,9.9,9.9,1,0,183.0,34.5,107.43,9.9,SAIL,77.3407149723688,-3.14
69,9235581,,,,,2017-08-16,15.41,7.55,1.0,13.5,31.2,2,0,208.0,42.2,131.41,24.0,SAIL,64.4646833722331,-3.14
70,9235581,,,,,2017-08-16,0.0,7.55,0.0,0.0,10.5,1,0,0.0,3.0,9.34,10.5,PORT,0.0,0.0
71,9235581,,,,,2017-08-17,18.1,8.2,3.0,19.0,19.0,1,0,181.0,53.0,165.04,19.0,SAIL,39.8581613917135,8.93
72,9235581,,,,,2017-08-17,11.25,8.2,3.0,1.6,4.2,3,0,18.0,3.6,11.21,1.6,SAIL,47.070066284413,0.0
73,9235581,,,,,2017-08-17,9.66,8.2,2.0,20.6,29.1,2,0,199.0,57.4,178.74,24.0,SAIL,40.4183093445445,8.93
74,9235581,,,,,2017-08-17,0.0,8.2,0.0,0.0,5.9,3,0,0.0,0.8,2.49,3.4,PORT,0.0,0.0
75,9235581,,,,,2017-08-18,3.64,8.2,0.0,1.1,3.3,3,0,4.0,0.9,2.8,1.1,SAIL,15.2145668798103,0.0
76,9235581,,,,,2017-08-18,11.43,8.2,2.0,2.8,5.6,2,0,32.0,4.0,12.46,2.8,SAIL,47.8172101936894,4.9
77,9235581,,,,,2017-08-18,15.5,8.2,3.0,2.0,3.0,2,0,31.0,4.9,15.26,0.0,SAIL,64.8520913251912,
78,9235581,,,,,2017-08-18,11.36,8.2,1.25,5.9,30.0,2,0,67.0,14.4,45.26,22.0,SAIL,47.5132872475431,4.9
79,9235581,,,,,2017-08-18,0.0,8.2,0.0,0.0,18.1,1,0,0.0,4.6,14.75,18.1,PORT,0.0,0.0
80,9235581,,,,,2017-08-19,9.63,6.5,3.0,2.7,6.7,3,0,26.0,3.9,12.14,2.7,SAIL,40.2904271076457,0.0
81,9235581,,,,,2017-08-19,13.87,6.5,2.0,13.8,13.8,1,0,190.0,30.2,94.04,13.7,SAIL,57.60587822247,2.94
82,9235581,,,,,2017-08-19,13.09,6.5,1.67,16.5,30.3,2,0,216.0,36.3,113.24,24.0,SAIL,54.7724407673169,2.94
83,9235581,,,,,2017-08-19,0.0,6.5,0.0,0.0,9.8,3,0,0.0,2.2,7.05,7.6,PORT,0.0,0.0
